C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.41,3.1000000000000005,2,N,591
0.01,0.41,3.1000000000000005,3,N,592
0.01,0.41,3.1000000000000005,4,N,593
0.01,0.41,3.1000000000000005,5,N,594
0.01,0.41,3.4000000000000004,1,N,595
0.01,0.41,3.4000000000000004,2,N,596
0.01,0.41,3.4000000000000004,3,N,597
0.01,0.41,3.4000000000000004,4,N,598
0.01,0.41,3.4000000000000004,5,N,599
0.01,0.41,3.7,1,N,600
0.01,0.41,3.7,2,N,601
0.01,0.41,3.7,3,N,602
0.01,0.41,3.7,4,N,603
0.01,0.41,3.7,5,N,604
0.01,0.41,4.0,1,N,605
0.01,0.41,4.0,2,N,606
0.01,0.41,4.0,3,N,607
0.01,0.41,4.0,4,N,608
0.01,0.41,4.0,5,N,609
0.01,0.41,4.300000000000002,1,N,610
0.01,0.41,4.300000000000002,2,N,611
0.01,0.41,4.300000000000002,3,N,612
0.01,0.41,4.300000000000002,4,N,613
0.01,0.41,4.300000000000002,5,N,614
0.01,0.41,4.6000000000000005,1,N,615
0.01,0.41,4.6000000000000005,2,N,616
0.01,0.41,4.6000000000000005,3,N,617
0.01,0.41,4.6000000000000005,4,N,618
0.01,0.41,4.6000000000000005,5,N,619
0.01,0.41,4.9,1,N,620
0.01,0.41,4.9,2,N,621
0.01,0.41,4.9,3,N,622
0.01,0.41,4.9,4,N,623
0.01,0.41,4.9,5,N,624
0.01,0.51,0.01,1,N,625
0.01,0.51,0.01,2,N,626
0.01,0.51,0.01,3,N,627
0.01,0.51,0.01,4,N,628
0.01,0.51,0.01,5,N,629
0.01,0.51,0.11,1,N,630
0.01,0.51,0.11,2,N,631
0.01,0.51,0.11,3,N,632
0.01,0.51,0.11,4,N,633
0.01,0.51,0.11,5,N,634
0.01,0.51,0.21,1,N,635
0.01,0.51,0.21,2,N,636
0.01,0.51,0.21,3,N,637
0.01,0.51,0.21,4,N,638
0.01,0.51,0.21,5,N,639
0.01,0.51,0.31000000000000005,1,N,640
0.01,0.51,0.31000000000000005,2,N,641
0.01,0.51,0.31000000000000005,3,N,642
0.01,0.51,0.31000000000000005,4,N,643
0.01,0.51,0.31000000000000005,5,N,644
0.01,0.51,0.41,1,N,645
0.01,0.51,0.41,2,N,646
0.01,0.51,0.41,3,N,647
0.01,0.51,0.41,4,N,648
0.01,0.51,0.41,5,N,649
0.01,0.51,0.51,1,N,650
0.01,0.51,0.51,2,N,651
0.01,0.51,0.51,3,N,652
0.01,0.51,0.51,4,N,653
0.01,0.51,0.51,5,N,654
0.01,0.51,0.6100000000000001,1,N,655
0.01,0.51,0.6100000000000001,2,N,656
0.01,0.51,0.6100000000000001,3,N,657
0.01,0.51,0.6100000000000001,4,N,658
0.01,0.51,0.6100000000000001,5,N,659
0.01,0.51,0.7100000000000001,1,N,660
0.01,0.51,0.7100000000000001,2,N,661
0.01,0.51,0.7100000000000001,3,N,662
0.01,0.51,0.7100000000000001,4,N,663
0.01,0.51,0.7100000000000001,5,N,664
0.01,0.51,0.81,1,N,665
0.01,0.51,0.81,2,N,666
0.01,0.51,0.81,3,N,667
0.01,0.51,0.81,4,N,668
0.01,0.51,0.81,5,N,669
0.01,0.51,0.91,1,N,670
0.01,0.51,0.91,2,N,671
0.01,0.51,0.91,3,N,672
